station_location,klxy,rh,date,hour_temp_taken
"MEXIA LIMESTONE CO AIRPORT, TX US",92,29,2023-09-10,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",89,34,2023-09-11,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,36,2023-09-12,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",81,69,2023-09-13,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",74,98,2023-09-14,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",74,92,2023-09-15,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",83,72,2023-09-16,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",91,37,2023-09-17,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,22,2023-09-18,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,33,2023-09-19,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,40,2023-09-20,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,47,2023-09-21,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",97,42,2023-09-22,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",98,43,2023-09-23,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",99,45,2023-09-24,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",91,49,2023-09-25,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",92,43,2023-09-26,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",98,31,2023-09-27,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",99,31,2023-09-28,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,37,2023-09-29,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",98,28,2023-09-30,14:55:00
